country,year,pop,gdp,gdp.growth,pop.growth,invest,trade
Lithuania,1998,3661168,8711.446199,0.051209257,-0.002256446,16.92055674,1.005276015
Lithuania,2003,3620094,11253.55525,0.073110194,-0.003067188,20.24982949,1.183723515
Macedonia,1990,1861361,6947.19782,-0.035488241,0.009719036,16.413254,0.766184058
Macedonia,1995,1954048,5817.654546,0.01707268,0.006094773,19.75970821,0.844510985
Macedonia,2000,2014512,6336.081911,0.008585141,0.003029783,19.87233277,1.006649253
Madagascar,1960,5481721,842.0906708,-0.006460162,0.020388032,14.92178774,0.371415038
Madagascar,1965,6070004,815.3250606,0.030670536,0.021699638,16.24333994,0.444740918
Madagascar,1970,6765644,950.4538064,0.000898832,0.023357871,15.80126659,0.439730463
Madagascar,1975,7603790,954.7349114,-0.032863871,0.026733878,15.6404173,0.433984135
Madagascar,1980,8691245,810.0648997,-0.01236408,0.028625601,15.07072663,0.358398606
Madagascar,1985,10028632,761.5028894,0.037156002,0.029678068,11.81111596,0.352186492
Madagascar,1990,11632868,916.9692868,-0.027220952,0.030249878,11.96493645,0.437131145
Madagascar,1995,13532361,800.286044,0.00265994,0.030248937,11.50260474,0.526407633
Madagascar,2000,15741942,811.0007029,-0.017864129,0.030247374,14.57727141,0.641094007
Malawi,1954,3028691,280.5789109,0.000269692,0.021359651,37.07028696,0.372593617
Malawi,1959,3370054,280.9575158,0.028885237,0.024865122,37.79490817,0.402294155
Malawi,1964,3816197,324.6116857,0.114672602,0.028150642,46.36347333,0.399167051
Malawi,1969,4392979,575.9337672,0.069088779,0.028779948,63.93315261,0.434772452
Malawi,1974,5072873,813.5737347,0.023981083,0.035747009,69.03727427,0.503881385
Malawi,1979,6065654,917.2150646,-0.052836497,0.031616077,55.9364536,0.451202224
Malawi,1984,7104460,704.2683706,-0.030089659,0.049114732,41.26618357,0.429838938
Malawi,1989,9082018,605.8977209,-0.034192821,0.025097949,44.08034935,0.443076317
Malawi,1994,10296316,510.6820015,0.03385937,0.018347769,29.87321017,0.502496253
Malawi,1999,11285571,604.8883775,-0.014550051,0.030427201,31.18237238,0.528483181
Malawi,2004,13140000,562.4451894,0.029869027,0.026864131,29.11235468,0.638494809
Malaysia,1955,7311720,1340.162172,0.018508976,0.02842789,13.92383404,0.758185047
Malaysia,1960,8428493,1470.107477,0.03714831,0.027019357,20.39446415,0.787864492
Malaysia,1965,9647654,1770.172613,0.03376534,0.024596964,21.75817624,0.706850608
Malaysia,1970,10910216,2095.733819,0.076321086,0.023447566,29.30316037,0.769152384
Malaysia,1975,12267303,3069.483161,0.064021133,0.023028926,30.3702751,0.902869565
Malaysia,1980,13764352,4227.517168,0.02545046,0.024335372,39.48442813,1.047047823
Malaysia,1985,15545309,4801.20612,0.046635771,0.023771677,32.18156981,1.121461433
Malaysia,1990,17507289,6062.037816,0.071905801,0.029984583,43.36094978,1.518422236
Malaysia,1995,20339000,8684.805647,0.02223088,0.02589955,41.43630452,1.894430256
Malaysia,2000,23151000,9705.856088,0.019844654,0.022965407,30.11984123,2.055396117
Mali,1960,4494738,541.5079051,-0.042090134,0.020405522,11.81637744,0.413180134
Mali,1965,4977536,438.7400054,0.015321244,0.021630736,16.60580567,0.370039115
Mali,1970,5546065,473.6711066,0.003715467,0.022855942,17.47601973,0.531892437
Mali,1975,6217503,482.5528981,0.031106195,0.01667625,20.91644421,0.518495621
Mali,1980,6758153,563.755994,0.007938453,0.01709809,18.23903633,0.535874165
Mali,1985,7361326,586.5827735,0.032110512,0.018744979,21.69576594,0.49356763
Mali,1990,8084632,688.7417259,0.004947692,0.020702741,22.20442206,0.523000341
Mali,1995,8966350,705.9926346,0.011621983,0.033870898,19.31021861,0.534428504
Mali,2000,10621000,748.2332183,0.034826438,0.026635651,16.61750366,0.590758603
Mauritania,1960,1117376,586.7842485,0.109462992,0.01343463,46.88966704,0.622585174
Mauritania,1965,1195012,1014.318426,0.047652852,0.015207256,21.15864652,0.726689847
Mauritania,1970,1289420,1287.215224,0.020668193,0.017083959,32.20418268,1.018657494
Mauritania,1975,1404403,1427.353614,-0.005391632,0.019070541,40.77238678,0.992743275
Mauritania,1980,1544909,1389.38882,-0.021033481,0.021874474,39.65828777,1.034762064
Mauritania,1985,1723466,1250.691433,0.003002303,0.022115432,25.53952502,1.205604231
Mauritania,1990,1924978,1269.607834,0.002615252,0.029846545,14.09944112,0.854301318
Mauritania,1995,2234790,1286.318575,-0.008987732,0.022498042,15.53215642,0.798992534
Mauritania,2000,2500867,1229.792752,0.022139923,0.025287982,30.42357265,0.944422085
Mexico,1950,28485180,3399.497281,0.031482838,0.028999507,17.95778648,0.296336073
Mexico,1955,32929914,3979.044655,0.028523235,0.031662754,21.01125586,0.276348083
Mexico,1965,45142399,5486.59951,0.029089687,0.031243734,23.24331224,0.17994774
Mexico,1970,52775158,6345.571062,0.037720298,0.02790827,21.37046956,0.190271845
Mexico,1975,60678045,7662.655439,0.040838356,0.023804549,22.67936336,0.219128086
Mexico,1980,68347479,9398.502491,-0.008661395,0.023234622,21.08964165,0.303961587
Mexico,1985,76767225,9000.169316,-0.004749299,0.020171418,17.04614173,0.365862661
Mexico,1990,84913652,8788.964465,-0.00391372,0.017935451,20.520366,0.364705685
Mexico,1995,92880353,8618.64859,0.04082036,0.014624796,19.66733018,0.615600742
Mexico,2000,99926620,10570.10884,0.024787574,0.012183065,21.66974744,0.590539446
Moldova,1992,4438079,2190.092153,-0.054976262,-0.000984647,25.6015825,1.116643707
Moldova,1997,4416283,1663.730404,0.015663623,-0.002238745,17.00711239,1.225110599
Moldova,2002,4367124,1799.268923,0.055709373,-0.001762121,17.9433572,1.36554834
Mongolia,1970,1247600,1451.562379,0.026332884,0.029460551,55.91036758,0.547561124
Mongolia,1975,1445600,1655.834149,0.038502768,0.02794517,56.46523483,0.549428268
Mongolia,1980,1662380,2007.356617,0.043157183,0.027529708,55.41088802,0.558967841
Mongolia,1985,1907701,2490.801773,0.046608486,0.030099834,48.55597161,0.624303561
Mongolia,1990,2217539,3144.475447,-0.104759333,0.019696385,26.04719693,0.879206405
Mongolia,1995,2447042,1862.37103,0.028503045,0.016971517,21.6991462,0.935255065
Mongolia,2000,2663757,2147.631586,0.038537839,0.014635541,21.98297967,1.253282105
Morocco,1950,9343384,850.8547791,-0.022814982,0.028635924,37.66920036,0.548997853
Morocco,1955,10781677,759.1250796,-0.006009831,0.028347282,21.91162907,0.4710731
Morocco,1960,12423434,736.653331,0.099254604,0.024837392,18.88784802,0.451587403
Morocco,1965,14066154,1210.017888,0.039852067,0.024626157,17.71974535,0.404309833
Morocco,1970,15909275,1476.826423,0.04445019,0.021189778,24.15131235,0.449784541
Morocco,1975,17687376,1844.385992,0.02592917,0.019382074,42.21236638,0.540134052
Morocco,1980,19487272,2099.695378,0.003502908,0.023216221,36.14144675,0.543479418
Morocco,1985,21885901,2136.794511,0.018867879,0.024473777,31.07361756,0.535195359
Morocco,1990,24734809,2348.193264,-0.00645063,0.011112237,30.45404848,0.534589235
Morocco,1995,26148000,2273.664978,0.023709253,0.014491879,29.94839458,0.533989457
Morocco,2000,28113000,2559.826093,0.034706,0.012331964,33.10279203,0.614946718
Mozambique,1960,7472230,357.811324,0.013888169,0.021047247,5.971438581,0.123484097
Mozambique,1965,8301446,383.5410544,0.014620868,0.022811001,7.03337124,0.132487239
Mozambique,1970,9304375,412.6298759,0.02636858,0.022890237,9.744286177,0.175334803
Mozambique,1975,10432604,470.7814192,-0.000498419,0.029697195,9.887283356,0.176674561
Mozambique,1980,12102619,469.6096484,-0.054533144,0.015266262,8.250921377,0.176766965
Mozambique,1985,13062600,357.5360128,0.025272323,-0.006157342,10.17233804,0.276348322
Mozambique,1990,12666573,405.6934018,-0.024207261,0.04376203,14.62804934,0.552349296
Mozambique,1995,15764753,359.4450811,0.039404127,0.027898304,18.37194172,0.482776775
Mozambique,2000,18124564,437.7211375,0.074141356,0.021227026,17.85646491,0.676549659
Namibia,1960,590731,3014.08523,0.050176087,0.025476014,21.81214661,1.306020783
Namibia,1965,670981,3873.570976,0.028368256,0.02614411,27.3351683,1.474217999
Namibia,1970,764683,4463.878893,0.004226808,0.035963565,35.59999283,1.300685382
Namibia,1975,915325,4559.222633,-0.003710109,0.028975254,35.72100245,1.296421556
Namibia,1980,1058021,4475.426196,-0.048578875,0.025878402,29.51652451,1.187363641
Namibia,1985,1204172,3510.320042,0.017876749,0.039971441,16.51861113,1.034776112
Namibia,1990,1470569,3838.53567,-0.005773272,0.026804754,25.27383974,0.950255612
Namibia,1995,1681478,3729.315098,0.01337217,0.023744634,23.23328036,0.868361757
Namibia,2000,1893442,3987.184911,0.017769378,0.013765855,26.44166892,0.829507366
Nepal,1960,10034723,632.3050035,0.00721995,0.015851071,5.214240023,0.178425403
Nepal,1965,10862394,655.5480673,0.009098324,0.018560003,5.741438969,0.160457599
Nepal,1970,11918678,686.0587376,0.003467884,0.019748231,8.558309184,0.148599934
Nepal,1975,13155605,698.0583321,0.000304942,0.021726501,15.79083711,0.250452526
Nepal,1980,14665245,699.1234803,0.025913454,0.024422431,18.12006294,0.306718038
Nepal,1985,16569979,795.8372042,0.017221364,0.026506964,20.60019598,0.319751009
Nepal,1990,18918256,867.4010726,0.020959796,0.029058669,21.27645233,0.418533889
Nepal,1995,21876669,963.2379253,0.021978023,0.025230999,24.08676296,0.581858588
Nepal,2000,24818162,1075.123226,-0.005534396,0.017546348,24.42869974,0.472977615
Netherlands,1950,10113527,9999.603768,0.033932695,0.012222048,18.66478699,0.877168645
Netherlands,1955,10750842,11848.59085,0.021927262,0.013228965,20.03792535,0.894692056
Netherlands,1960,11486000,13221.51276,0.033190148,0.013563948,21.96325906,0.881172138
Netherlands,1965,12292000,15608.19347,0.039855402,0.011696987,23.6633526,0.814324912
Netherlands,1970,13032335,19050.11253,0.026326631,0.009311556,21.86186186,0.885857222
Netherlands,1975,13653438,21730.26877,0.022465241,0.00705843,18.61734035,0.904768077
Netherlands,1980,14143901,24313.51499,0.002741501,0.004854097,16.56989593,1.048923401
